objectid,filename,title,description,source,subject,identifier,material,set size,roll surfaces,type,format,location,date
coll013,chaotic glitter bi (1).jpg,Bisexual Galaxy,"blue, pink, and purple glitter dice set with silver inking",Etsy (FanaticallyInclined),Blue; Pink; Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-09-23
coll014,black and white marble (2).jpg,Black & White Marble,black and white marbled dice set with gold inking,Cozy Gamer Shop (https://cozygamer.com/products/white-and-black-marble-dice-set?_pos=4&_psq=black%20and%20&_ss=e&_v=1.0&variant=19862730768448),Black; White,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-11-03
coll015,bloody skeletor.jpg,Bloody Skeletons,"deep red dice set with skull, ribcage, and skeletal hands behind each number, & metallic silver lining and numbers",Etsy (MicaDNDCrafted),Red,skeleton etching on every dice side,Metal,Large,all except wood towers,Image;StillImage,image/jpeg,sapphire dragons bag,2021-02-08
coll016,burning clouds (1).jpg,Burning Cloud,"red, yellow, and blue layered translucent dice set with white inking",Cozy Gamer Shop (https://cozygamer.com/products/burning-cloud-dice-set-red-yellow-and-blue-layered-dice-set-by-hd?_pos=1&_psq=burning&_ss=e&_v=1.0),Red; Blue,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-11-03
coll017,giants in the sky (2).jpg,Cloud Giants,dark blue glitter dice set with gold inking and lining designs,Etsy (DndDice),Blue; Gold,"jumbo ""oversized"" dice",Resin,Jumbo/Oversized,all except wood towers,Image;StillImage,image/jpeg,sapphire dragons bag,2021-05-12
coll018,critmas.jpg,Critsmas Time,green and red dice set with white inking,,Green; Red,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll019,blue sharp edge (1).jpg,Cryomancer,blue translucent dice set with silver inking,Etsy (https://www.etsy.com/listing/875331783/cryomancer-ice-mage-sharp-dnd-dice-clear?ref=yr_purchases&variation0=2231412549&variation1=2100484644),Blue,"sharp edges, hamsa hand on 20",Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-07
coll020,skulls (2).jpg,Death Dice,black dice set with silver skulls inset for numeric markings,,Black,skulls in place of numbers or dot collections,Resin,n/a,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,sapphire dragons bag,2021-10-23
coll021,blushy blush (4).jpg,Dom Pérignon,pink translucent dice set with gold glitter inclusion and inking,Etsy (DndDice),Pink,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll022,dungeon master (3).jpg,Game Master,blue and black dice set with silver inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-gm),Blue; Black,"open book on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll023,first set ever (2).jpg,Gemini Black and Green,green and black dice set with gold inking,,Green; Black,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2016
coll024,green marble (3).jpg,Greenery Marbled,green and white dice set with gold inking,,Green; White,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll025,grog (2).jpg,Grog Strongjaw,white dice set with rusty lining and black inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-grog),White; Red,"beer stein on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll026,red dwarf galaxy (2).jpg,Heaven's Eye Galaxy,"red, blue, and purple dice set with gold inking",,Blue; Purple; Gold,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll027,keyleth (2).jpg,Keyleth,green (translucent) and brown (opaque) dice set with gold inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-keyleth),Brown; Green,"antlers on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll028,labradorite.jpg,Labradorite Astrology Style,green gemstone dice with gold inking and gold astrological lining details,Gift (https://urwizards.com/products/urwizards-dnd-labradorite-engraved-dice-set-astrology-style-1?_pos=11&_sid=ddfe6d81f&_ss=r),Green; Gold,"sharp edges, astral detailing and theme",Gemstone - labradorite,Standard,soft felt trays only,Image;StillImage,image/jpeg,cleric vault,2020-11-11
coll029,blue stone resin (2).jpg,Marble Oxi-Copper & White,blue and grey dice set with white inking,Etsy (https://www.etsy.com/listing/969816493/marble-oxi-copper-white-green-and-brown?ref=yr_purchases),Blue,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-06-15
coll030,blue swirlies (2).jpg,Marbled Sky,blue swirl dice set with gold inking,,Blue,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll031,midnight rose (2).jpg,Midnight Rose,purple dice set with copper pearl swirl inclusion and white inking,Cozy Gamer Shop (https://cozygamer.com/products/midnight-rose-dnd-dice-set-purple-and-copper-pearly-marbled-dice?_pos=3&_psq=midn&_ss=e&_v=1.0),Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-11-03
coll032,pain in my ass (2).jpg,Moonweaver’s Reign,"clear dice set with gold foil and purple swirl inclusions, and gold inking",Heartbeat Dice (https://heartbeatdice.ecwid.com/Moonweaver%E2%80%99s-Reign-Dice-Set-p277507865),Pink; Purple,11 dice in set - 2 d20s and 4 d6s,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-06-01
coll033,Mount Doom.jpg,Mount Doom,steel dice set with red lava crack detailing and white inking,Etsy (Viridian Gaming),Silver; Red,sharp edges,Metal,Large,all except wood towers,Image;StillImage,image/jpeg,sapphire dragons bag,2021-10-13
coll034,tripping blue acid (2).jpg,Mysterious Clouds,blue and silver dice set with white inking,Etsy (https://www.etsy.com/listing/1024901048/mystery-dice-dice-dice-set-dd?ref=yr_purchases),Blue; Silver,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll035,green sharp edge (1).jpg,Necromancer,green translucent dice set with dark green swirl inclusion and gold inking,Etsy (https://www.etsy.com/listing/854689982/necromancer-sharp-dnd-dice-clear-hand?ref=yr_purchases),Green; Black ,"sharp edges, hamsa hand on 20",Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-07
coll036,onyxstone (3).jpg,Onyxstone,silver dice set with glitter inclusion and gold inking,Cozy Gamer Shop (https://cozygamer.com/products/onxystone-dnd-dice-set-cloudy-silver-shimmering-resin-dice?_pos=1&_psq=onyx&_ss=e&_v=1.0),Silver; Grey,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-11-03
coll037,percy (2).jpg,Percival Fredrickstein von Musel Klossowki de Rollo III,light purple (translucent) dice set with dark blue swirl inclusion and silver inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-percival),Purple; Blue; Black,"whitestone sun on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll038,pike (4).jpg,Pike Trickfoot,white pearl dice set with gold inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-pike),White,"shining mace on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll039,pure pink.jpg,Pretty in Pink,pink and light pink dice set with white inking,,Pink,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll040,bluegreen galaxy (1).jpg,Purple and Green Turquoise Galaxy,"blue, green, and deep purple glitter dic set with gold inking",Etsy (https://www.etsy.com/listing/802013108/purple-and-green-turquoise-galaxy-dnd?ref=yr_purchases),Blue; Green; Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll041,rainbow resin (3).jpg,Rainbow,rainbow stripe dice set with white inking,,Rainbow,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-08-15
coll042,hot rod.jpg,Red Pearl,red pearl dice set with yellow inking,Etsy (https://www.etsy.com/listing/712359642/bad-dice-dice-jail-with-polyhedral-dice?ref=yr_purchases&variation0=1683600720),Red,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-09-15
coll043,metal rain.jpg,Royal Blue/Silver,blue dice set with silver inking and lining,,Blue; Silver,,Metal,Standard,all except wood towers,Image;StillImage,image/jpeg,sapphire dragons bag,2020-08
coll044,scanlan (1).jpg,Scanlan Shorthalt,dark pink glitter dice set with pink inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-scanlan),Pink,"music notes on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-02-18
coll045,simply lavendar (2).jpg,Sea Glass Amethyst,light lavendar (semi-translucent) dice set with dark purple swirl inclusion and gold inking,Etsy (https://www.etsy.com/listing/771548822/sea-glass-amethyst-dice-set-for-dungeons?ref=yr_purchases),Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll046,green seaglass (1).jpg,Sea Glass Emerald,light green (semi-translucent) dice set with green swirl inclusion and gold inking,Etsy (https://www.etsy.com/listing/825967682/sea-glass-emerald-dice-set-for-dungeons?ref=yr_purchases),Green,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll047,spirited away.jpg,Soot Sprite,"clear translucent dice set with pink candy stars and clay models of soot sprites from Studio Ghibli's Spirited Away film as inclusion, and gold inking",Heartbeat Dice (https://heartbeatdice.ecwid.com/Soot-Sprite-Dice-p238692001),Clear,inclusion of candy stars and dust sprites from spirited away,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-06-01
coll048,subtle galaxy (2).jpg,Starry Sky,almost black dice set with silver glitter inclusion and gold inking,Etsy (https://www.etsy.com/listing/732130164/starry-sky-dnd-dice-set-for-dungeons-and?ref=yr_purchases),Black; Gold,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll049,cool galaxy (2).jpg,Tumultuous Galaxy,"red, blue, and dark purple glitter dice set with gold inking",,Blue; Red; Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-12
coll050,stalwart galaxy (2).jpg,Twilight,"light purple dice set with pink and blue swirl inclusion, and gold inking",Etsy (https://www.etsy.com/listing/778408983/twilight-polyhedral-dice-set-translucent?ref=yr_purchases),Pink; Blue; Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-08-23
coll051,vaxildan (1).jpg,Vax'ildan,black and silver swirl dice set with black inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-vaxildan),Black; Red,"dagger and feather on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-11-19
coll052,vexahlia (5).jpg,Vex'ahlia de Rollo,blue and white swirl dice set with gold inking,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-vexahlia),Blue; White; Gold,"2 arrows crossed over a bear paw on 20, critical role font",Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-11-19
coll053,purple stone resin (3).jpg,Vortex Purple & Gold,"purple dice set with white and black swirl inclusion, and gold inking",Etsy (https://www.etsy.com/listing/955865470/vortex-purple-gold-chessex-dice-set-7?ref=yr_purchases),Purple; Gold,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-06-15
coll054,whirlpool (1).jpg,Whirlpool,blue and white marble dice set with gold inking,Cozy Gamer Shop (https://cozygamer.com/products/11-piece-pearly-gates-dice-set?_pos=1&_psq=whirp&_ss=e&_v=1.0),Blue; White,11 dice in set - 2 d20s and 4 d6s,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-11-03
